Rang;Ministère;Direction;Service/Bureau;Poste;
1;Cour des comptes;;;Auditeur à la Cour des comptes;
2;Inspection générale des finances;;;Inspectrice des finances de 2e classe;
3;Conseil d'Etat;;;Auditrice au Conseil d'Etat;
4;Conseil d'Etat;;;Auditeur au Conseil d'Etat;
5;Inspection générale des finances;;;Inspecteur des finances de 2e classe;
6;Conseil d'Etat;;;Auditrice au Conseil d'Etat;
7;Inspection générale des finances;;;Inspecteur des finances de 2e classe;
8;Cour des comptes;;;Auditrice à la Cour des comptes;
9;Cour des comptes;;;Auditeur à la Cour des comptes;
10;Inspection générale des affaires sociales;;;Inspecteur des affaires sociales de 2e classe;
11;Ministère de l'Europe et des Affaires étangères;Direction de l’Union européenne;Service des politiques internes et des questions institutionnelles (DUE/INT) ;Conseiller politique « justice et affaires intérieures »;
12;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service des affaires multilatérales et développement";"Sous-direction des Affaires financières multilatérales et développement (MULTIFIN)
Bureau Système financier international, préparation des sommets – MULTIFIN4";Adjoint au chef de bureau chargé de la préparation des réunions du G7 et du G20-Suivi du FMI;
13;Inspection générale des affaires sociales;;;Inspectrice des affaires sociales de 2e classe;
14;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service des affaires bilatérales et de l'internationalisation des entreprises";"Sous-direction Relations économiques bilatérales et attractivité (BILAT)
Bureau Asie et Océanie – BILAT3";"Adjoint au chef de bureau
en charge du Monde Chinois (Chine, Hong-Kong, Macao, Taiwan) et de la Mongolie";
15;Inspection générale de l'administration;;;Inspecteur de l'administration de 2e classe;
16;Ministère de l'Europe et des Affaires étangères;Direction des affaires juridiques;Sous-direction du droit international public (DJ/DIP);Consultante en droit international;
17;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service du financement de l’économie
";"Sous-direction des Assurances (Assur)
Bureau Marchés et produits d’assurance (Assur1)";Adjoint au chef de bureau en charge de l’assurance vie, de l’épargne retraite et de la tutelle de l'ERAFP;
18;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service des Affaires multilatérales et Développement";"Sous-direction des Affaires financières multilatérales et développement (MULTIFIN)
Bureau Financement multilatéral du développement et du climat – MULTIFIN3";"Adjointe au chef de bureau 
chargée des questions de financement du changement climatique";
19;Ministère de l'Intérieur;Direction de la modernisation et de l'administration territoriale (DMAT);Bureau des élections et des études politiques;Adjoint au chef du bureau des élections et des études politiques;
20;Ministère de l'Economie, des Finances et de la Relance;"Direction du Budget (DB)
Sixième sous-direction";Bureau de l'emploi et de la formation professionnelle (6BEFP);Adjoint au chef de bureau;
21;Ministère de l'Europe et des Affaires étangères;Centre de crise et de soutien;Centre des opérations humanitaire et de stabilisation (COHS);Conseiller politique stabilisation Sahel ;
