nom;capacite;popularite
"Ministère de l'Economie, des Finances et de la Souveraineté ";21;16
"Chambres régionales des comptes";3;2
"Ministère de la Transition écologique et de la Cohésion des ";5;3
"Ministère de l'Europe et des Affaires étrangères";4;12
"Ministère de la transformation et de la fonction publiques";3;3
"Tribunaux administratifs et cours administratives d'appel";6;9
"Inspection générale de l'administration";1;5
"Ministère du travail, du plein emploi et de l’insertion, min";13;10
"Ministère de l'intérieur";2;3
"Inspection générale des finances";2;3987
"Ministère de la Justice";4;3
"Ministère de la Culture";3;5
"Ministère des Armées";5;3
"Ministère de l'Education nationale, de la Jeunesse et des Sp";4;3
"Ville de Paris";4;3
"Ministère de l'Agriculture et de la Souveraineté alimentaire";5;3
"Ministère de l'Intérieur";9;8
"Caisse des dépôts et consignations";1;1
"Conseil d'Etat";2;181
"Cour des comptes";2;652
"Inspection générale des affaires sociales";1;24
