nom;capacite;popularite
"Ministère de la Justice";4;2
"Ministère de la transformation et de la fonction publiques";3;4
"Ministère de l'Education nationale, de la Jeunesse et des Sp";4;2
"Ministère de l'intérieur";2;4
"Ministère du travail, du plein emploi et de l’insertion, min";2;39
"Tribunaux administratifs et cours administratives d'appel";6;12
"Ministère de la Transition écologique et de la Cohésion des ";5;3
"Ministère de l'Intérieur";9;7
"Ministère de la Culture";3;9
"Ministère des Armées";5;3
"Ministère de l'Agriculture et de la Souveraineté alimentaire";5;3
"Chambres régionales des comptes";3;2
"Caisse des dépôts et consignations";1;1
"Ministère de l'Economie, des Finances et de la Souveraineté ";2;584
"Ministère de l'Europe et des Affaires étrangères";4;24
"Ville de Paris";4;2
